tc,p1,p2,p3
0500,0708,0808,0901,
0503,0701,0804,0900,
0506,0703,0806,0906,
0506,0703,0809,0908,
0503,0708,0806,0908,
0503,0701,0804,0909,
0501,0707,0800,0903,
0501,0708,0802,0902,
0508,0700,0805,0903,
0503,0701,0803,0901,
0506,0709,0809,0904,
0504,0700,0803,0900,
0508,0701,0808,0902,
0504,0702,0801,0907,
0502,0703,0800,0903,
0503,0702,0807,0901,
0504,0704,0804,0909,
0507,0709,0801,0904,
0500,0702,0800,0907,
0503,0705,0807,0901,
0508,0705,0805,0903,
0509,0709,0802,0901,
0502,0703,0805,0908,
0507,0704,0801,0904,
0509,0708,0803,0908,
0507,0706,0804,0900,
0509,0705,0807,0904,
0500,0706,0805,0909,
0501,0703,0804,0902,
0502,0708,0804,0904,
0503,0701,0804,0901,
0505,0706,0807,0906,
0504,0702,0805,0903,
0509,0709,0803,0900,
0506,0702,0804,0909,
0508,0701,0800,0901,
0504,0706,0804,0908,
0504,0708,0805,0908,
0501,0709,0801,0906,
0505,0708,0805,0909,
0500,0702,0803,0901,
0503,0708,0801,0900,
0501,0707,0809,0909,
0501,0709,0803,0907,
0505,0707,0806,0901,
0507,0701,0809,0908,
0500,0700,0806,0908,
0508,0701,0807,0901,
0503,0702,0802,0907,
0501,0706,0809,0902,
0505,0700,0803,0906,
0501,0706,0804,0906,
0503,0702,0809,0902,
0503,0709,0800,0905,
0509,0707,0803,0900,
0500,0703,0801,0906,
0505,0705,0805,0906,
0501,0704,0800,0907,
0504,0704,0805,0905,
0502,0701,0803,0908,
0503,0702,0800,0908,
0503,0703,0806,0903,
0502,0709,0805,0902,
0504,0708,0808,0900,
0503,0705,0808,0907,
0509,0709,0804,0905,
0505,0701,0802,0909,
0505,0707,0807,0908,
0502,0700,0809,0905,
0503,0705,0800,0905,
0506,0705,0809,0901,
0503,0700,0803,0907,
0505,0701,0804,0905,
0502,0700,0802,0909,
0503,0705,0809,0908,
0504,0708,0809,0906,
0508,0700,0802,0903,
0507,0704,0808,0903,
0500,0700,0806,0905,
0500,0709,0804,0905,
0503,0700,0802,0907,
0502,0705,0807,0906,
0502,0708,0806,0906,
0506,0705,0805,0907,
0505,0709,0800,0902,
0503,0701,0808,0905,
0501,0706,0801,0903,
0508,0707,0808,0901,
0508,0701,0800,0902,
0506,0707,0800,0900,
0507,0707,0806,0906,
0504,0701,0805,0902,
0500,0707,0806,0906,
0508,0704,0801,0901,
0503,0702,0804,0901,
0502,0703,0804,0902,
0506,0704,0804,0902,
0504,0705,0804,0903,
0504,0700,0809,0908,
0504,0704,0802,0906,
0502,0709,0802,0902,
0505,0704,0806,0908,
0508,0700,0801,0900,
0505,0705,0804,0901,
0502,0709,0805,0908,
0506,0709,0801,0902,
0502,0701,0802,0908,
0507,0705,0804,0909,
0504,0709,0804,0901,
0503,0700,0802,0903,
0502,0703,0806,0908,
