time(unix),tc,p1,p2,p3
1674179739,29.970761,24.520635,106.784410,
1674179739,29.980636,24.538531,86.440850,
1674179740,29.938057,24.522794,83.121844,
1674179740,29.941142,24.535137,92.875236,
1674179741,29.888380,24.527730,87.098667,
1674179741,29.917384,24.521252,99.936582,
1674179742,29.981870,24.558586,91.980764,
1674179742,29.928490,24.554576,89.089398,
1674179743,29.903807,24.530507,101.111515,
1674179743,29.884369,24.540690,101.941812,
1674179744,29.836546,24.553339,100.035931,
1674179744,29.905041,24.579259,89.322653,
1674179745,29.922629,24.540382,106.173800,
1674179746,29.921395,24.572777,98.312716,
1674179746,29.805690,24.568458,91.423537,
1674179747,29.851662,24.597463,104.490388,
1674179747,29.822969,24.601782,106.501172,
1674179748,29.877890,24.594684,90.283772,
1674179748,29.829139,24.606718,101.408339,
1674179749,29.825745,24.586663,88.247686,
1674179749,29.783166,24.574937,108.115468,
1674179750,29.802296,24.552722,96.504024,
1674179750,29.856293,24.596229,107.343495,
1674179751,29.873569,24.568458,85.351692,
1674179751,29.844875,24.626774,95.153524,
1674179752,29.813405,24.624306,88.971533,
1674179752,29.797360,24.608569,100.603350,
1674179753,29.835003,24.597772,101.320713,
1674179753,29.848886,24.631401,108.662213,
1674179754,29.840865,24.639734,107.481412,
1674179754,29.799520,24.635412,98.537328,
1674179755,29.771132,24.618753,102.619990,
1674179755,29.730715,24.574011,98.041806,
1674179756,29.668078,24.470958,88.652188,
1674179756,29.546823,24.493175,91.425388,
1674179757,29.528927,24.491013,94.982592,
1674179757,29.557312,24.509526,90.692285,
1674179758,29.712819,24.569075,89.769118,
1674179758,29.804764,24.686940,95.740071,
1674179759,29.889305,24.716867,107.969530,
1674179759,29.901956,24.789685,101.838761,
1674179760,30.038951,24.839360,103.262381,
1674179760,30.164528,24.878854,101.771497,
1674179761,30.113308,24.860958,97.598741,
1674179761,30.000074,24.737231,100.800500,
1674179762,29.895478,24.666576,97.213680,
1674179762,29.726702,24.552722,102.937792,
1674179763,29.702019,24.536680,96.254103,
1674179763,29.701402,24.510451,84.219332,
1674179764,29.653887,24.501196,93.192112,
1674179765,29.655430,24.529273,97.576214,
1674179765,29.697391,24.590982,105.875137,
1674179766,29.758483,24.592216,93.214633,
1674179766,29.753239,24.598697,84.841356,
1674179767,29.799520,24.695270,90.256927,
1674179767,29.760643,24.689100,101.664115,
1674179768,29.743055,24.674289,97.257184,
1674179768,29.766813,24.641276,100.698066,
1674179769,29.801371,24.649297,88.941294,
1674179769,29.808775,24.680153,86.967536,
1674179770,29.778539,24.687866,92.413346,
1674179770,29.753547,24.677065,107.596198,
1674179771,29.735960,24.693110,96.370734,
1674179771,29.833152,24.742479,96.027018,
1674179772,29.782549,24.721498,102.080044,
1674179772,29.757866,24.676140,95.570064,
1674179773,29.686591,24.684472,91.757072,
1674179773,29.665302,24.665342,98.067417,
1674179774,29.642161,24.661023,102.216413,
1674179774,29.681346,24.609803,91.359048,
1674179775,29.654196,24.620604,91.369537,
1674179775,29.666536,24.666268,89.437125,
1674179776,29.648643,24.636957,76.884928,
1674179776,29.683197,24.691568,92.389894,
1674179777,29.696157,24.655467,94.704900,
1674179777,29.706955,24.642202,93.733915,
1674179778,29.623340,24.611037,80.035778,
1674179778,29.650802,24.655776,94.616349,
1674179779,29.663759,24.669353,105.563190,
1674179779,29.680421,24.649914,89.658354,
1674179780,29.697391,24.704836,105.939305,
1674179780,29.625191,24.625540,99.043036,
1674179781,29.628279,24.676757,112.149387,
1674179781,29.633215,24.655776,93.202910,
1674179782,29.651111,24.689100,99.600886,
1674179782,29.650802,24.676448,100.360520,
1674179783,29.618095,24.671204,96.056634,
1674179784,29.539107,24.663183,106.912153,
1674179784,29.586314,24.682004,101.581123,
1674179785,29.626116,24.690025,102.183712,
1674179785,29.628896,24.677065,95.287128,
1674179786,29.598348,24.685706,92.503132,
1674179786,29.545897,24.669970,96.074224,
1674179787,29.548982,24.644978,85.311581,
1674179787,29.612234,24.658864,87.432819,
1674179788,29.617478,24.675214,114.557880,
