elapsed,p10,p21,p31,p22,p32,t1,t2,p20,p30,pINJ,inj1,inj2,ign,lc
1698530992159756691,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1698530992228939141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1698530992298118771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1698530992367290715,840.098,7.19921,0.95176,1.42505,12.9734,26.1246,26.1246,2877.3,2676.61,1829.54,-273,-273,-273,215.602
1698530992436465700,582.627,5.49536,1.14108,1.42505,14.6772,26.4954,26.2613,2881.19,2596.69,1889.36,-273,-273,-273,265.216
1698530992505641812,582.627,5.49536,1.14108,1.42505,14.6772,26.4954,26.2613,2881.19,2596.69,1889.36,-273,-273,-273,265.216
1698530992574826725,419.152,6.91524,0.857102,1.51971,14.9612,27.0902,25.9977,2880.62,2593.46,1902.73,-273,-273,-273,282.66
1698530992644011037,318.152,7.19921,0.762443,1.42505,14.7719,26.6709,25.8123,2882.14,2594.32,1907.94,-273,-273,-273,289.802
1698530992713108810,246.117,8.52443,0.95176,1.51971,14.6772,26.1539,25.2169,2881.47,2593.37,1907.85,-273,-273,-273,291.95
1698530992782181920,246.117,8.52443,0.95176,1.51971,14.6772,26.1539,25.2169,2881.47,2593.37,1907.85,-273,-273,-273,291.95
1698530992851378991,193.203,8.61909,1.14108,1.33039,14.6772,26.5734,25.3243,2854.93,2571.85,1895.62,-273,-273,-273,290.876
1698530992920562068,159.41,8.42977,1.14108,1.61437,14.7719,26.1246,26.2026,2860.33,2575.45,1895.52,-273,-273,-273,290.054
1698530992989738435,159.41,8.42977,1.14108,1.61437,14.7719,26.1246,26.2026,2860.33,2575.45,1895.52,-273,-273,-273,290.054
1698530993058914106,133.473,6.91524,0.95176,1.42505,14.7719,26.1539,25.9977,2860.14,2575.26,1894.86,-273,-273,-273,289.802
1698530993128088449,109.714,6.25263,0.95176,1.42505,13.4467,26.4661,25.8416,2868.01,2581.61,1897.89,-273,-273,-273,290.497
1698530993197264637,109.714,6.25263,0.95176,1.42505,13.4467,26.4661,25.8416,2868.01,2581.61,1897.89,-273,-273,-273,290.497
1698530993266331205,96.5567,7.00989,0.857102,1.51971,15.2452,26.6222,25.6855,2864.5,2580.19,1897.89,-273,-273,-273,290.623
1698530993335524652,85.8603,6.63126,0.95176,1.70903,13.636,25.8416,26.31,2867.44,2581.42,1899.31,-273,-273,-273,291.255
1698530993404602929,85.8603,6.63126,0.95176,1.70903,13.636,25.8416,26.31,2867.44,2581.42,1899.31,-273,-273,-273,291.255
1698530993473710294,77.5304,7.57784,0.95176,1.33039,14.7719,26.3587,25.9684,2860.9,2575.73,1895.62,-273,-273,-273,290.244
