elapsed,p10,p21,p31,p22,p32,t1,t2,p20,p30,pINJ,inj1,inj2,ign,lc
1697736470437879775,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736470507013000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736470576221214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736470645396883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736470714528735,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736470783705195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736470852880351,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736470922055412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736470991230078,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736471060404427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736471129579003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736471198754026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736471267928435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736471337107103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736471406281976,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736471475457257,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736471544630722,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736471613805327,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736471682980767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736471752155730,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736471821330912,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736471890505390,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736471959653603,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736472028858807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
