elapsed,p10,p21,p31,p22,p32,t1,t2,p20,p30,pINJ,inj1,inj2,ign,lc
1693503289144972769,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693503289214066766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693503289283163449,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693503289352264914,12.2161,1.04642,2.56095,1.33039,13.352,28.3196,26.1365,2.87446,17.0001,6.00296,28.4495,30.9426,26.8885,16.516
1693503289421373509,11.4588,0.857102,0.95176,1.23574,14.4879,28.6311,25.1995,1.92643,17.9481,6.66658,27.9034,30.5534,26.4979,5.07641
1693503289490560005,11.4588,0.857102,0.95176,1.23574,14.4879,28.6311,25.1995,1.92643,17.9481,6.66658,27.9034,30.5534,26.4979,5.07641
1693503289559745144,11.5535,1.14108,1.04642,1.04642,13.068,28.709,25.6681,3.53808,17.8533,6.85619,28.6055,31.8761,26.7323,-2.63383
1693503289628778601,12.2161,0.95176,1.51971,1.14108,13.068,28.7868,25.7462,4.77052,16.1469,7.1406,28.4201,31.5357,26.9372,-7.43645
1693503289697875162,11.2695,1.14108,1.51971,0.95176,13.352,28.2902,25.6387,2.21084,17.8533,5.52894,28.2155,31.7984,27.5132,-9.77456
1693503289767056167,11.2695,1.14108,1.51971,0.95176,13.352,28.2902,25.6387,2.21084,17.8533,5.52894,28.2155,31.7984,27.5132,-9.77456
1693503289836233838,11.6482,1.04642,2.56095,1.14108,13.4467,28.4167,25.2969,4.67572,16.6209,6.09776,27.5912,30.6312,27.1228,-10.5329
1693503289905409760,12.0268,0.95176,2.56095,1.23574,14.2039,28.6311,26.2146,3.44328,16.1469,5.14973,28.6835,30.9426,26.9666,-11.4807
1693503289974588853,12.0268,0.95176,2.56095,1.23574,14.2039,28.6311,26.2146,3.44328,16.1469,5.14973,28.6835,30.9426,26.9666,-11.4807
1693503290043765712,11.7428,0.95176,2.56095,1.33039,13.2573,28.2902,26.1071,2.68485,17.0949,7.3302,28.7321,30.9133,27.1715,-10.9752
1693503290112945337,11.5535,1.14108,3.98083,1.04642,13.068,28.6604,26.244,4.67572,16.3365,3.91729,28.1861,30.9911,27.0934,-12.4918
1693503290182121393,11.5535,1.14108,3.98083,1.04642,13.068,28.6604,26.244,4.67572,16.3365,3.91729,28.1861,30.9911,27.0934,-12.4918
1693503290251299550,11.7428,0.95176,2.27698,0.95176,13.068,29.0204,25.9804,2.87446,16.2417,8.75225,28.2935,30.9426,26.3416,-11.2912
1693503290320457624,11.4588,0.857102,2.46629,1.14108,13.1627,28.4754,26.2146,3.25367,16.3365,3.82249,28.0889,31.2054,26.6836,-12.2391
